                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.3415,                 3.8656,                 2.1052,                0.01287,                0.64444,                0.11564,                0.02857,                 1.7172,                 2.8094,                 1.6647,              0.0012212,              0.0012212,              0.0012212
                     62,                  2.394,                 3.8165,                 2.1357,                0.10117,                0.31111,                0.10975,                0.03108,                 1.8887,                 5.3842,                 1.7175,               0.001208,               0.001208,               0.001208
                     63,                  2.279,                 3.7739,                 2.0357,                  0.042,                0.46667,                0.06321,                 0.0149,                 1.7494,                 2.8878,                 1.6372,              0.0011948,              0.0011948,              0.0011948
                     64,                 2.4093,                  4.028,                  2.105,                0.06428,                0.53333,                0.10473,                0.02446,                 1.7409,                 3.1687,                 1.6252,              0.0011816,              0.0011816,              0.0011816
                     65,                 2.1137,                 3.8137,                 1.9672,                0.02287,                0.64444,                0.06519,                0.01608,                 1.7992,                   2.99,                 1.6383,              0.0011684,              0.0011684,              0.0011684
                     66,                 2.1686,                  3.854,                 1.9981,                0.01631,                0.48889,                0.07176,                0.01555,                 1.7733,                 3.0577,                 1.7764,              0.0011552,              0.0011552,              0.0011552
                     67,                  2.272,                 3.7336,                 2.0185,                 0.0388,                0.57778,                0.08484,                0.02137,                 1.6895,                 3.0586,                 1.5896,               0.001142,               0.001142,               0.001142
                     68,                 2.4276,                 3.8649,                 2.1591,                  0.244,                    0.2,                0.12471,                0.03371,                 1.8058,                 2.9424,                 1.5705,              0.0011288,              0.0011288,              0.0011288
                     69,                 2.2787,                 3.5863,                 2.0583,                0.16608,                0.37778,                 0.1898,                0.04219,                 1.7419,                 2.9863,                 1.6006,              0.0011156,              0.0011156,              0.0011156
                     70,                 2.1404,                 3.6635,                  1.925,                0.10525,                0.15556,                0.07923,                0.02389,                 1.7838,                 2.8601,                 1.6609,              0.0011024,              0.0011024,              0.0011024
                     71,                 2.2465,                 3.6644,                 2.0016,                0.19922,                0.22222,                0.09987,                0.03078,                 1.7399,                 3.0067,                 1.6175,              0.0010892,              0.0010892,              0.0010892
                     72,                  2.125,                 3.6971,                 1.9672,                0.01936,                0.62222,                0.06114,                0.01577,                 1.6603,                 2.7548,                 1.6023,               0.001076,               0.001076,               0.001076
                     73,                 2.2607,                 3.8031,                 2.0715,                0.15482,                0.28889,                0.18102,                0.05712,                 1.7415,                 2.9551,                  1.646,              0.0010628,              0.0010628,              0.0010628
                     74,                 2.1155,                 3.4924,                 1.9969,                0.14356,                0.26667,                0.11597,                0.02951,                  1.775,                 2.9051,                 1.6981,              0.0010496,              0.0010496,              0.0010496
                     75,                 2.2438,                 3.7002,                 2.0168,                0.04196,                0.46667,                0.08856,                0.02149,                 1.7328,                 3.0798,                 1.6661,              0.0010364,              0.0010364,              0.0010364
                     76,                 2.2223,                 3.5162,                 1.9947,                  0.146,                0.37778,                0.11126,                0.02557,                 1.5854,                  3.223,                 1.5097,              0.0010232,              0.0010232,              0.0010232
                     77,                 2.2376,                 3.5674,                  2.029,                0.12014,                0.35556,                0.11372,                0.02692,                 1.7437,                 2.8792,                 1.6072,                0.00101,                0.00101,                0.00101
                     78,                 2.2261,                 3.7888,                  2.038,                0.08499,                0.46667,                0.14208,                0.04053,                 1.7452,                 2.7604,                 1.6388,              0.0009968,              0.0009968,              0.0009968
                     79,                 2.0686,                 3.5345,                 1.9004,                0.00254,                0.84444,                0.09388,                0.02556,                 1.7044,                 3.5917,                 1.6388,              0.0009836,              0.0009836,              0.0009836
                     80,                    2.1,                 3.4842,                 1.8995,                0.12986,                0.33333,                0.09099,                0.02681,                 1.7752,                 2.7064,                 1.6678,              0.0009704,              0.0009704,              0.0009704
                     81,                  2.185,                 3.5177,                 2.0048,                0.16336,                0.13333,                0.08316,                0.02058,                  1.779,                 2.9329,                 1.7166,              0.0009572,              0.0009572,              0.0009572
                     82,                 2.1583,                 3.5598,                 2.0059,                 0.0982,                0.42222,                0.09122,                0.02734,                 1.6716,                 3.1248,                 1.7183,               0.000944,               0.000944,               0.000944
                     83,                 2.1649,                 3.6062,                 1.9608,                0.01823,                0.55556,                0.09956,                  0.028,                 1.8212,                 2.9402,                  1.779,              0.0009308,              0.0009308,              0.0009308
                     84,                 2.1502,                 3.4924,                  1.971,                0.10636,                0.37778,                0.12579,                0.03271,                 1.7909,                 2.7957,                 1.7617,              0.0009176,              0.0009176,              0.0009176
                     85,                 2.1216,                 3.4298,                 1.9497,                0.20334,                0.37778,                0.14288,                0.03055,                  1.703,                 2.8167,                 1.7084,              0.0009044,              0.0009044,              0.0009044
                     86,                 2.2227,                 3.5205,                 2.0002,                0.16343,                 0.1997,                0.10649,                0.02613,                 1.8002,                 2.9712,                 1.7219,              0.0008912,              0.0008912,              0.0008912
                     87,                 2.2467,                 3.5155,                 2.0444,                0.22088,                0.19539,                0.13494,                0.03136,                 1.7345,                 2.7579,                  1.641,               0.000878,               0.000878,               0.000878
                     88,                 2.1068,                 3.3885,                 1.9183,                 0.1884,                0.35556,                0.16092,                0.03636,                 1.7352,                 2.7404,                 1.6442,              0.0008648,              0.0008648,              0.0008648
                     89,                 2.0987,                 3.3774,                 1.9144,                0.14011,                0.31111,                0.11075,                0.02632,                 1.7977,                 2.7266,                 1.7165,              0.0008516,              0.0008516,              0.0008516
                     90,                 2.1303,                 3.2411,                 1.9608,                0.21335,                0.37778,                0.18237,                0.05225,                 1.6902,                 2.6436,                 1.6579,              0.0008384,              0.0008384,              0.0008384
                     91,                  2.076,                 3.3602,                 1.9503,                0.11799,                 0.4162,                0.11778,                0.03163,                 1.7061,                  2.761,                 1.6339,              0.0008252,              0.0008252,              0.0008252
                     92,                 2.1023,                  3.326,                 1.9608,                0.16517,                0.35556,                0.16206,                0.04542,                 1.6204,                  2.697,                 1.6402,               0.000812,               0.000812,               0.000812
                     93,                 2.1246,                 3.3066,                 1.9697,                0.25563,                0.28889,                0.21218,                 0.0552,                  1.621,                  2.633,                 1.6647,              0.0007988,              0.0007988,              0.0007988
                     94,                 2.0504,                 3.2665,                 1.8833,                0.19568,                0.28889,                0.12571,                0.03337,                 1.7096,                 2.6193,                 1.6906,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.9967,                 3.3462,                 1.8763,                 0.2075,                0.33333,                0.14846,                0.04061,                 1.6777,                 2.7043,                 1.6901,              0.0007724,              0.0007724,              0.0007724
                     96,                 2.1309,                 3.3811,                 1.9869,                0.21133,                0.22222,                0.12284,                0.03209,                 1.6097,                 2.7662,                 1.5279,              0.0007592,              0.0007592,              0.0007592
                     97,                 2.0257,                 3.3942,                 1.8959,                0.10635,                0.53333,                0.13685,                0.04253,                 1.6733,                 3.6996,                 1.6475,               0.000746,               0.000746,               0.000746
                     98,                 1.9151,                 3.0301,                 1.8146,                0.21145,                0.31111,                0.18094,                0.04399,                 1.7395,                 2.6484,                 1.6394,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.9875,                    3.3,                 1.8706,                0.16936,                0.42222,                0.22302,                0.05274,                 1.7029,                 2.9373,                 1.6073,              0.0007196,              0.0007196,              0.0007196
                    100,                  2.097,                 3.2521,                 1.9432,                0.21794,                0.15556,                0.14129,                 0.0503,                 1.7257,                 2.6395,                 1.6351,              0.0007064,              0.0007064,              0.0007064
                    101,                 2.1238,                 3.3928,                 1.9487,                0.34558,                 0.1761,                0.17017,                0.03347,                 1.7665,                 2.8363,                 1.6397,              0.0006932,              0.0006932,              0.0006932
                    102,                 2.0807,                 3.0972,                 1.9397,                0.21369,                0.31111,                0.20237,                0.04903,                 1.7193,                 2.5261,                 1.6556,                0.00068,                0.00068,                0.00068
                    103,                 2.1096,                 3.4388,                 1.8391,                0.26509,                0.31111,                0.17642,                0.04429,                 1.7273,                  2.522,                  1.537,              0.0006668,              0.0006668,              0.0006668
                    104,                 2.0349,                 3.3011,                 1.8913,                0.18199,                0.35556,                0.17942,                 0.0469,                 1.6923,                 2.8746,                 1.6313,              0.0006536,              0.0006536,              0.0006536
                    105,                 2.0076,                 3.2963,                 1.8827,                0.02236,                0.64444,                0.12178,                0.03691,                 1.6109,                 2.8256,                 1.5152,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.9657,                 3.0912,                 1.8319,                0.28697,                0.22222,                0.19489,                0.05321,                 1.6272,                 2.4963,                 1.5816,              0.0006272,              0.0006272,              0.0006272
                    107,                 2.0272,                 3.2661,                 1.8618,                0.17225,                0.42222,                 0.1323,                0.03723,                 1.5542,                 2.7895,                 1.5842,               0.000614,               0.000614,               0.000614
                    108,                 2.0864,                 3.1925,                 1.8797,                0.19447,                0.24444,                0.14118,                0.04543,                 1.7052,                 2.5976,                 1.6186,              0.0006008,              0.0006008,              0.0006008
                    109,                 2.0902,                 3.0934,                  1.912,                 0.1991,                0.35556,                0.20001,                0.04893,                 1.7306,                 2.7039,                 1.6476,              0.0005876,              0.0005876,              0.0005876
                    110,                  1.929,                 3.0859,                 1.7928,                0.17017,                    0.2,                0.11684,                0.03775,                 1.6625,                 2.5455,                 1.6202,              0.0005744,              0.0005744,              0.0005744
                    111,                 2.0004,                 3.0868,                 1.8611,                0.42913,                0.13333,                0.15996,                0.04236,                 1.6178,                 2.7674,                 1.5915,              0.0005612,              0.0005612,              0.0005612
                    112,                 2.0617,                 3.0862,                 1.8559,                0.32101,                0.22068,                0.23656,                0.06836,                 1.5538,                 2.6065,                  1.589,               0.000548,               0.000548,               0.000548
                    113,                 2.0698,                 3.2828,                 1.8458,                0.27122,                0.35556,                0.17375,                0.06067,                 1.7383,                   2.59,                 1.6552,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.8524,                 3.0761,                 1.7306,                0.31402,                    0.2,                0.20234,                0.06749,                 1.6324,                  2.453,                 1.6204,              0.0005216,              0.0005216,              0.0005216
                    115,                  2.058,                 3.0698,                 1.8976,                0.29685,                0.35652,                0.19806,                0.07751,                 1.5955,                 2.5091,                 1.6018,              0.0005084,              0.0005084,              0.0005084
